epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6027,2.24406,3.1518,1.69565,0.11722,0.74558,0.10292,0.03226,2.20423,3.01784,1.46799,0.0006,0.0006,0.0006
2,52.8081,2.1017,2.14409,1.47246,0.51811,0.46996,0.42227,0.15855,2.15535,1.79345,1.47338,0.00109922,0.00109922,0.00109922
3,77.3432,2.10845,1.78965,1.38856,0.516,0.53357,0.4621,0.16871,2.2011,1.85668,1.5055,0.00147568,0.00147568,0.00147568
4,102.868,2.06537,1.68218,1.40171,0.46945,0.54417,0.43464,0.15141,2.2282,2.18006,1.51141,0.001406,0.001406,0.001406
5,127.616,2.03282,1.62455,1.38967,0.52196,0.5265,0.43249,0.17286,2.10853,1.97936,1.48398,0.001208,0.001208,0.001208
6,152.447,1.99157,1.49445,1.35768,0.50285,0.57597,0.48766,0.19881,2.0884,1.82632,1.48841,0.00101,0.00101,0.00101
7,177.639,1.98152,1.48418,1.36025,0.52825,0.61329,0.53647,0.22008,2.03834,1.58328,1.44095,0.000812,0.000812,0.000812
8,202.917,1.91305,1.45951,1.3497,0.57951,0.65018,0.59367,0.24437,1.97998,1.47639,1.41025,0.000614,0.000614,0.000614
9,228.424,1.90838,1.42436,1.32816,0.58195,0.65914,0.58775,0.23946,2.01914,1.47918,1.42886,0.000416,0.000416,0.000416
10,252.943,1.87735,1.41086,1.32679,0.5605,0.64442,0.57132,0.23267,2.04827,1.49338,1.43935,0.000218,0.000218,0.000218
